Test Cases,Software Requirements
Ensure that role-based access control is implemented,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that FAQs are relevant and helpful,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check the behavior of the application under concurrent user sessions.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Test the API's ability to handle and log server-specific errors,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
"Check Next, Previous, First, and Last page pagination functionality",Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that web app install banner is shown,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that database disaster recovery plans are tested regularly,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that the site's notifications are properly formatted for different operating systems and devices.,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that the site's notifications are stored securely.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Tooltips text should be meaningful,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that the API supports role-based access control,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that the API handles concurrent updates to the same resource correctly,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that passwords and other sensitive fields are masked while typing.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that Data Pump jobs are monitored and completed successfully,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the primary and standby databases are synchronized,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that database links are secure and encrypted,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Test the security of passwords and password policy enforcement.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that prefetching is implemented,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that RMAN (Recovery Manager) scripts are created and functioning correctly,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that media playback can be controlled via touch,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that database interoperability testing is conducted regularly,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that the site's web push notifications can be subscribed to and unsubscribed from.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Tab and Shift+Tab order should work properly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Result grids should be displayed with proper column and row spacing,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that tablespaces are created and allocated correctly,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that the API supports HTTPS and enforces secure communication,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
"Test the API's behavior under different network conditions (e.g., slow, unstable connections)",Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that the API responses include appropriate headers for security,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check CPU and memory usage under peak load conditions.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that Oracle Audit Vault is used for centralized audit management,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the file name for exported files follows the naming standards and includes the actual timestamp if required.,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that columns not accepting null values are enforced,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that HTML is optimized for performance,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that secure cookies are used,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check cookies used in an application,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that the API responses include detailed success messages,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that the site's notifications respect user preferences and settings.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that the site is usable with voice recognition software.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that alerts are configured for critical database events,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that the site's notifications are sent to the correct device or platform.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that X-Frame-Options header is set,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that database transaction logs are reviewed regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that push notifications are implemented,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that currency formats change based on locale,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that database monitoring and alerting guidelines are documented,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Test the application's compliance with GDPR and other data protection regulations.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that PWA is implemented correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that admin actions are logged,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that the site's notifications are properly formatted for different push notification services and platforms.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Required table indexes should be created,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
"Test the functionality of sending emails to single, multiple, or distribution list recipients","User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that database security policies are enforced,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that database code changes are reviewed and approved,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that emails with attachments are properly sent and received.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that database schema changes are reviewed and approved,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that the API supports bulk updates if applicable,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
"Ensure that the export button displays the correct icon according to the file type being exported, such as an Excel file icon for .xls files.",Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that sensitive information is masked in logs,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that font loading is optimized,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the API can handle concurrent requests without issues,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
"For result grids showing reports, check 'Totals' row data when pagination is enabled and the user navigates to the next page","User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify numeric fields with negative values for both acceptance and non-acceptance,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that subtitles and captions work correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that heatmaps are implemented correctly,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that media metadata is correct,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the API supports range requests if applicable,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check the API's ability to handle custom error handling mechanisms,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify that the API properly handles input data validation on the server side,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that database backups are performed regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that non-critical CSS is loaded asynchronously,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that the site's push notifications are properly formatted and delivered.,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
"Verify the functionality of sending emails using TO, CC, and BCC fields","API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Placeholder fields in the email template should be replaced with actual values,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check the API's ability to handle multi-tenant architectures,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that recorded streaming works correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
"Index names should be given as per the standards, such as IND_Tablename_ColumnName","System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that the API handles data validation on both client and server sides,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that web app can be installed,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
"Disabled fields should be greyed out, and users should not be able to set focus on these fields",Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that cookie information is stored in encrypted format only.,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that site loads within acceptable time,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that users cannot see restricted data,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that critical CSS is inlined,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that database statistics are gathered regularly,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
"Check the API's compatibility with different client types (e.g., web, mobile, desktop applications)",Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify image upload functionality with images having spaces or any other allowed special characters in the file name,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that secure pages use the HTTPS protocol.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that values for table audit columns are populated properly,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that video playback works correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the site's push notifications include necessary information and links.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
"Verify that email headers and footers contain the company logo, privacy policy, and other relevant links.","User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that clipboard functionality works correctly,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that functions return the correct results,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
The description text box should be multi-lined,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that the site complies with accessibility standards such as WCAG.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Pagination should be enabled when there are more results than the default result count per page,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that third-party scripts do not introduce security vulnerabilities.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check the date format in exported files if they contain date columns,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that media playback controls are not obstructive,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the site's notifications are properly formatted for different user events and activities.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that goal conversions are tracked correctly,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that the site's SMS notifications are properly formatted and delivered.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the site's notifications are properly formatted for different email clients and webmail services.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Verify the uploaded image path,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Test page loading on slow internet connections.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the API supports data indexing and searching,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check all pages for broken links,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the API handles custom event handlers and listeners,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that the site's notifications are properly formatted for different user trends and insights.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Result grid values should be sorted by the default column,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
"When at least one filter criterion is required to perform the search operation, ensure a proper error message is displayed if the user submits the page without selecting any filter criteria","User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that prerendering is implemented,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that media playback controls work offline,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that the site's notifications are properly formatted for different SMS and messaging apps.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that database configuration management procedures are followed,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
"Ensure all columns are visible, and a horizontal scrollbar is enabled if necessary","User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Verify that the API versioning is handled correctly and that deprecated endpoints are removed or properly documented,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Validation error messages should be displayed properly in the correct position,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that the API handles user sessions correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that database downgrade procedures are documented and tested,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that the site provides clear and concise error messages for users.,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Test the API for backward compatibility with previous versions,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that data integrity checks are performed regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that tracking code does not cause errors,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that push notifications work correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that header tags are used correctly,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that search results sorting options work,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Test stored procedures and triggers with sample input data,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Check that audit logs are reviewed regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that DNS prefetching is implemented,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that data is committed to the database only when the operation is successfully completed,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure language-specific characters are displayed correctly in the email body template,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that help content is up to date,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that database service level management procedures are followed,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that database error logs are reviewed regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Test the API for proper handling of timeouts and retries,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that the site's notifications are properly formatted for different user actions and events.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
"Check that database maintenance jobs (e.g., reorganization, defragmentation) are scheduled and monitored",Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
"All fields on a page, such as text boxes, radio options, and drop-down lists, should be aligned properly",Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Ensure that database refresh procedures are documented and tested,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that A/B test results are tracked,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that database performance optimization is performed regularly,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that session cookies are secure,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that the SSL certificate is not expired,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that the site's SMS notifications include necessary information and links.,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
"All buttons on a page should be accessible by keyboard shortcuts, allowing the user to perform all operations using a keyboard","User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that the search functionality works correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that data is synced correctly when online,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that database maintainability testing is conducted regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that media encryption is implemented,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that expired accounts are disabled,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Test the API for proper handling of special characters and encoding,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
"Check numeric input fields with character input values, ensuring a proper validation message appears",Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that database maintenance logs are reviewed regularly,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check the functionality of sending a high volume of emails without issues,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that web app install banner works,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that the API supports data import and export functionalities,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
"Verify that the ""reply to"" email address is correct.",Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Ensure that functions are created and functioning as expected,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the site's notifications are properly formatted for different user payments and invoices.,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Ensure that the site provides notifications for important events or updates.,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Ensure that database performance tuning guidelines are documented,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that X-Content-Type-Options header is set,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check that the site is accessible via HTTPS,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that user roles and permissions are implemented correctly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that search results are relevant,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that database threat modeling is conducted regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that database recoverability testing is conducted regularly,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Ensure that the API supports hierarchical data structures,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check the API's ability to handle dynamic query generation,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Check that PWA icons are present and valid,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that PFILE (Parameter File) is used for emergency startup,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that user passwords are changed regularly,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that scroll depth tracking is implemented,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that the API handles data transformation and mapping,Search functionality should allow users to find and filter results accurately and efficiently. Criteria for searches should be clearly defined and customizable.
Check that the site's notifications are properly formatted for different user milestones and achievements.,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check scroll bar functionality for parent and child windows,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
"Information filled by users should remain intact when there is an error message on page submit, allowing the user to submit the form again by correcting the errors","System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Check that media playback is not interrupted,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that system performance is monitored,"API should handle various data formats and conditions seamlessly, ensuring robustness and flexibility in different scenarios."
Verify that special characters are properly exported in files.,"User interface should be intuitive, with tooltips and error messages that guide users effectively. Dropdown fields should have sensible default values and options."
Check that the site's email notifications are sent to the correct recipients.,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that media playback controls are accessible for screen readers,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
Verify that file uploads can be canceled,"System should ensure high availability and reliability, with mechanisms to handle load balancing and failover scenarios effectively."
Verify that log rotation policies are implemented,Database system should be monitored and controlled in a way that performance issues should be spotted instantly. And also the media uploaded to the system should be played and/or downloadable without performance issues.
